Epoch,AnimalCount,GrassCount,AnimalAvgEnergy,AnimalAvgLifespan,AnimalAvgChildren
0,52,48,47.07692307692308,0,0.07692307692307693
1,53,47,47.075471698113205,0,0.11320754716981132
2,55,48,44.36363636363637,0,0.18181818181818182
3,55,49,43.36363636363637,0,0.18181818181818182
